ano,uf,centil,quantidade_de_contribuintes,rendimentos_tributaveis_limite_superior_da_rtb_do_centil_r_milhoes,rtb_soma_centil,rendimentos_tributaveis_rtb_acumulada_do_centil_r_milhoes,rendimentos_tributaveis_media_da_rtb_do_centil_r,rendimentos_sujeitos_a_tribut_exclusiva_r_milhoes,rendimentos_isentos_lucros_e_dividendos_r_milhoes,rendimentos_isentos_rendim_socio_titular_me_epp_opt_simples_r_milhoes,rendimentos_isentos_outros_rendimentos_isentos_r_milhoes,despesas_dedutiveis_previdencia_r_milhoes,despesas_dedutiveis_dependentes_r_milhoes,despesas_dedutiveis_instrucao_r_milhoes,despesas_dedutiveis_medicas_r_milhoes,despesas_dedutiveis_pensao_alimenticia_r_milhoes,despesas_dedutiveis_livro_caixa_r_milhoes,imposto_devido_r_milhoes,bens_imoveis,bens_e_direitos_moveis_r_milhoes,bens_e_direitos_financeiros_r_milhoes,bens_e_direitos_outros_bens_e_direitos_r_milhoes,dividas_onus,cluster
2006,MT,16.0,2.685,"4.050,00",1087.0,33.47,"4.046,79",0.26,12.4,0.31,10.92,0.1,0.26,0.01,0.02,0.01,,,3945.0,15.94,88.04,3.15,105.0,0
2006,MS,25.0,2.658,"12.000,00",3189.0,303.88,"11.998,14",0.65,4.28,0.41,6.09,0.07,0.27,0.04,0.05,0.03,0.0,,5527.0,11.58,36.35,2.75,472.0,0
2006,GO,29.0,5.962,"12.000,00",7015.0,704.42,"11.765,95",0.58,2.56,0.17,17.44,0.37,1.07,0.15,0.31,0.04,0.02,0.01,16386.0,23.88,57.78,4.4,1189.0,0
2006,AP,34.0,254.0,"15.627,55",394.0,51.48,"15.509,20",0.08,0.03,,0.04,0.12,0.21,0.02,0.01,0.0,,0.0,22.0,0.08,0.47,0.11,5.0,0
2006,PA,25.0,3.039,"12.000,00",3559.0,333.13,"11.712,47",0.9,1.51,0.2,6.18,0.36,0.9,0.13,0.24,0.06,0.02,0.02,333.0,7.84,21.8,1.26,248.0,0
2006,PR,40.0,14.691,"14.800,00",21534.0,"4.008,82","14.658,03",4.28,15.07,1.42,48.13,1.27,2.71,0.33,0.81,0.2,0.03,,42168.0,118.27,302.54,9.94,4414.0,2
2006,GO,30.0,5.962,"12.100,00",7159.0,776.02,"12.008,55",0.61,11.95,0.27,10.2,0.14,0.53,0.06,0.11,0.01,0.01,0.01,11425.0,18.66,89.82,4.75,991.0,0
2006,RJ,35.0,22.391,"15.934,12",35379.0,"5.935,33","15.800,37",14.3,18.84,0.9,81.36,3.55,5.82,1.14,3.09,0.65,0.03,0.16,39454.0,62.49,290.94,16.45,4097.0,2
2006,PB,29.0,1.636,"10.011,52",1597.0,133.05,"9.762,76",0.27,1.54,,5.87,0.06,0.18,0.04,0.08,0.0,,,1741.0,3.55,19.13,0.39,63.0,0
2006,DF,31.0,4.563,"17.977,31",8109.0,"1.125,61","17.771,21",0.99,6.9,0.43,14.09,1.16,1.68,0.44,0.68,0.2,0.02,0.0,10187.0,23.21,42.8,0.98,95.0,0
2006,DF,18.0,4.563,"11.117,46",4798.0,226.53,"10.514,56",3.07,19.13,0.69,33.62,0.62,0.79,0.19,0.43,0.11,0.02,,14307.0,23.96,69.22,2.58,827.0,0
2006,MA,33.0,2.131,"11.645,00",2399.0,236.83,"11.256,84",0.22,0.39,0.01,3.3,0.16,0.43,0.07,0.14,0.02,0.01,0.01,1475.0,3.45,10.07,0.87,214.0,0
2006,MS,27.0,2.658,"12.800,00",3349.0,369.76,"12.597,82",1.84,2.48,0.09,11.39,0.17,0.38,0.04,0.15,0.01,0.0,,8028.0,13.43,42.64,2.23,1754.0,0
2006,AC,29.0,251.0,"12.000,00",296.0,26.97,"11.785,15",0.02,0.01,0,0.54,0.02,0.03,0.0,0.0,0.0,0.0,0.0,282.0,0.38,2.05,0.42,2.0,0
2006,BRASIL,30.0,241.562,"12.000,00",2897.63,"30.721,45","11.995,38",89.84,849.39,49.61,719.81,9.09,20.51,3.35,7.93,2.02,0.49,0.45,5022.08,"1.123,37","5.202,47",189.19,59527.0,3
2006,AP,21.0,254.0,"8.520,00",208.0,8.3,"8.169,89",0.02,0.22,0.01,0.32,0.01,0.04,,0.01,0.0,,,236.0,0.28,0.92,0.08,4.0,0
2006,AP,40.0,254.0,"17.120,76",43.0,76.33,"16.930,01",0.06,0.12,0.02,0.05,0.07,0.15,0.02,0.03,0.02,0.0,0.0,48.0,0.28,1.23,0.12,3.0,0
2006,MT,31.0,2.686,"12.000,00",3221.0,364.96,"11.993,29",0.07,0.29,0.04,4.43,0.06,0.24,0.02,0.06,0.01,0.0,,562.0,11.11,44.41,1.24,305.0,0
2006,BRASIL,50.0,241.563,"17.552,42",4216.89,"103.970,48","17.456,67",67.04,217.01,10.5,554.08,35.83,71.22,10.99,25.21,6.1,1.16,0.47,6427.88,"1.499,35","3.600,81",178.67,51901.0,3
2006,AC,2.0,250.0,0,0.0,0,0,0.01,0.03,0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.4,1.25,0.25,183.0,0
2006,BRASIL,45.0,241.562,"16.418,18",3935.33,"83.451,67","16.291,17",95.39,369.8,19.31,608.42,40.92,73.57,10.49,23.83,5.83,0.94,0.68,6438.9,"1.380,30","3.918,01",403.63,53497.0,3
2006,RN,42.0,1.959,"15.620,00",3045.0,504.25,"15.544,36",1.35,0.77,,1.69,0.24,0.46,0.08,0.17,0.09,0.01,0.0,16.0,4.65,11.78,0.13,183.0,0
2006,ES,29.0,3.386,"12.056,20",4061.0,442.78,"11.993,28",0.71,5.96,0.58,11.49,0.16,0.32,0.06,0.15,0.06,0.01,,5676.0,13.93,61.72,1.18,1892.0,0
2006,MA,27.0,2.131,"8.100,00",1689.0,111.31,"7.925,36",0.27,2.46,0.24,4.81,0.09,0.31,0.05,0.07,0.01,0.0,,1252.0,3.43,18.45,0.96,126.0,0
2006,PB,23.0,1.636,"6.000,00",939.0,53.94,"5.739,64",0.07,1.42,0.02,5.48,0.03,0.1,0.01,0.07,0.02,,0.01,997.0,2.7,7.24,0.23,113.0,0
2006,ES,23.0,3.385,"9.150,00",2994.0,224.24,"8.843,90",0.76,4.18,0.17,14.74,0.17,0.49,0.07,0.23,0.06,0.0,,5723.0,12.03,45.81,0.73,364.0,0
2006,AP,45.0,255.0,"18.467,40",468.0,99.1,"18.335,95",0.1,0.01,,0.08,0.14,0.25,0.01,0.04,0.04,,,15.0,0.42,0.53,0.05,6.0,0
2006,TO,46.0,968.0,"16.342,20",1568.0,368.62,"16.201,43",0.11,0.51,0.05,1.32,0.13,0.32,0.04,0.07,0.01,0.0,0.0,2668.0,6.04,8.26,1.77,596.0,0
2006,AC,18.0,250.0,"4.993,08",114.0,3.02,"4.563,36",0.01,0.02,0,0.56,0.0,0.02,0.0,0.01,0.0,0.0,0.0,81.0,0.02,0.67,0.03,1.0,0
2006,RJ,9.0,22.392,291.45,48.0,0.48,21.6,19.01,28.46,1.34,328.27,0.01,0.03,0.0,0.01,0.0,,0.05,72754.0,69.04,578.57,30.42,6376.0,2
2006,RN,49.0,1.959,"17.424,14",3387.0,730.75,"17.288,86",0.28,0.37,0.02,3.36,0.28,0.53,0.12,0.23,0.08,0.0,0.0,1828.0,5.85,12.32,0.42,141.0,0
2006,AC,27.0,250.0,"10.812,58",264.0,21.24,"10.540,36",0.01,0,0,0.22,0.01,0.02,0.01,0.02,0.0,0.0,0.0,86.0,0.16,0.78,0.05,2.0,0
2006,PB,43.0,1.636,"15.131,82",2458.0,432.63,"15.027,50",0.28,0.47,0.01,1.87,0.09,0.19,0.03,0.08,0.01,0.0,0.0,1115.0,4.77,8.6,0.27,96.0,0
2006,AC,21.0,251.0,"7.200,00",168.0,7.55,"6.692,05",0.01,0.03,0,0.64,0.01,0.04,0.0,0.0,0.01,0.0,0.0,155.0,0.35,1.12,0,11.0,0
2006,MG,30.0,21.09,"10.156,22",20967.0,"2.190,31","9.941,83",6.15,24.55,1.82,68.67,0.95,2.29,0.34,0.9,0.18,0.03,0.02,42567.0,84.43,301.86,12.99,2583.0,2
2006,RR,45.0,331.0,"17.980,40",594.0,104.65,"17.942,47",0.08,,,0.05,0.09,0.25,0.02,0.01,0.02,,0.0,107.0,0.49,0.28,,13.0,0
2006,MG,26.0,21.091,"8.100,00",16843.0,"1.419,55","7.986,01",8.28,85.4,3.06,82.23,0.82,2.19,0.26,0.74,0.19,0.01,0.01,47527.0,102.17,454.89,14.09,6821.0,2
2006,CE,45.0,3.818,"13.820,00",5194.0,754.52,"13.603,59",1.13,3.23,0.1,7.35,0.27,0.54,0.12,0.2,0.11,0.01,,3351.0,10.22,35.63,1,248.0,0
2006,PE,24.0,5.563,"8.080,48",4316.0,270.86,"7.758,06",1.62,5.12,0.62,19.43,0.22,0.61,0.11,0.45,0.09,0.01,0.01,5559.0,12.4,67.57,2.29,572.0,0
2006,BA,28.0,7.644,"8.000,00",5856.0,379.36,"7.660,79",1.48,10.46,0.68,27.5,0.37,0.97,0.13,0.49,0.12,0.01,,8536.0,15.59,81.66,2.37,682.0,0
2006,GO,41.0,5.962,"15.200,00",8997.0,"1.689,80","15.090,82",0.67,2.76,0.29,9.17,0.53,1.04,0.14,0.31,0.07,0.04,0.02,14047.0,28.93,61.79,2.63,1423.0,0
2006,AP,19.0,254.0,"6.500,00",15.0,4.42,"5.895,26",0,0.21,,0.64,0.01,0.02,0.0,0.01,0.0,,,66.0,0.12,1.06,0.02,7.0,0
2006,AM,49.0,2.246,"18.256,89",4077.0,"1.041,05","18.153,00",0.77,0.63,0.17,1.98,0.81,1.59,0.23,0.17,0.15,0.0,0.0,1197.0,4.52,10.33,0.58,155.0,0
2006,PI,37.0,1.173,"9.600,00",1091.0,101.76,"9.300,21",0.2,0.42,,2.94,0.05,0.07,0.01,0.07,0.01,,,651.0,2.53,4.94,0.3,55.0,0
2006,RJ,41.0,22.392,"17.374,35",38605.0,"8.170,16","17.240,47",9.4,17.57,0.98,60.62,4.2,8.03,1.87,3.78,0.89,0.09,0.2,39507.0,87.33,264.63,12.53,323.0,2
2006,GO,15.0,5.962,"4.050,00",2403.0,62.23,"4.030,62",1.48,41.36,2.56,21.85,0.1,0.44,0.02,0.02,0.02,,,1004.0,24.31,133.71,6.4,1929.0,0
2006,PR,18.0,14.691,"5.898,59",8134.0,455.21,"5.537,03",7.83,23.93,1.41,73.55,0.35,1.91,0.1,0.44,0.1,0.01,0.0,46388.0,72.91,270.91,10.34,2634.0,2
