Ano-calendário;Ente Federativo;Centil;Quantidade de Contribuintes;Rendimentos Tributaveis - Limite Superior da RTB do Centil [R$ milhões];Rendimentos Tributaveis - Soma da RTB do Centil [R$ milhões];Rendimentos Tributaveis - RTB Acumulada do Centil [R$ milhões];Rendimentos Tributaveis - Média da RTB do Centil [R$];Rendimentos Sujeitos à Tribut. Exclusiva [R$ milhões];Rendimentos Isentos - Lucros e dividendos [R$ milhões];Rendimentos Isentos - Rendim. Sócio/Titular ME/EPP Opt SIMPLES [R$ milhões];Rendimentos Isentos - Outros Rendimentos Isentos [R$ milhões];Despesas Dedutíveis - Previdência [R$ milhões];Despesas Dedutíveis - Dependentes [R$ milhões];Despesas Dedutíveis - Instrução [R$ milhões];Despesas Dedutíveis - Médicas [R$ milhões];Despesas Dedutíveis - Pensão Alimentícia [R$ milhões];Despesas Dedutíveis - Livro-Caixa [R$ milhões];Imposto Devido [R$ milhões];Bens e Direitos - Imóveis [R$ milhões];Bens e Direitos - Móveis [R$ milhões];Bens e Direitos - Financeiros [R$ milhões];Bens e Direitos - Outros Bens e Direitos [R$ milhões];Dívidas e Ônus [R$ milhões]
2006;BRASIL;1;241.563;;;;;235,61;481,27;27,37;1.694,49;;;;;;;0,16;5.281,59;686,21;6.549,15;1.006,40;1.610,39
2006;BRASIL;2;241.563;;;;;208,74;483,44;29,36;1.675,01;;;;;;;0,22;5.295,48;668,82;5.762,77;681,75;694,12
2006;BRASIL;3;241.562;;;;;219,96;459,87;27,63;1.683,04;;;;;;;0,31;5.566,27;670,64;5.451,95;377,17;650,98
2006;BRASIL;4;241.563;;;;;257,01;481,93;31,77;1.699,89;;;;;;;0,17;5.860,02;678,44;6.104,09;256,16;1.079,20
2006;BRASIL;5;241.562;;;;;249,88;464,23;28,11;1.697,17;;;;;;;0,17;5.193,31;682,38;5.592,52;269,28;671,97
2006;BRASIL;6;241.563;;;;;225,07;454,74;24,73;1.604,68;;;;;;;0,13;5.193,68;662,55;6.611,62;265,35;612,02
2006;BRASIL;7;241.562;;;;;240,87;460,86;27,69;1.608,30;;;;;;;0,08;5.316,54;701,6;5.652,74;389,85;863,93
2006;BRASIL;8;241.563;;;;;244,43;569,25;29,76;1.751,91;;;;;;;0,1;5.443,09;673,85;6.197,00;336,04;629,92
2006;BRASIL;9;241.562;;;;;176,14;536,98;24,94;1.581,53;;;;;;;0,21;5.274,17;658,96;5.903,26;232,22;933,64
2006;BRASIL;10;241.563;;;;;259,26;547,41;30,08;1.756,96;;;;;;;0,16;5.219,60;687,21;5.627,35;281,04;685,59
2006;BRASIL;11;241.562;;;;;221,06;499,67;22,57;1.655,07;;;;;;;0,09;5.698,88;717,12;6.160,26;422,69;612,56
2006;BRASIL;12;241.563;1.000,00;73,31;73,31;303,5;153,05;328,64;16,93;2.232,56;0,65;2,91;0,04;0,75;0,14;0;0,11;5.704,97;754,73;5.092,90;201,39;478,75
2006;BRASIL;13;241.562;2.500,00;428,32;501,63;1.773,13;217,8;702,63;28,99;1.956,60;3,75;17,13;0,47;4,61;0,9;0,05;0,12;6.712,24;974,17;6.006,80;268,46;550,82
2006;BRASIL;14;241.563;3.700,00;763,65;1.265,29;3.161,30;287,99;713,04;35,46;2.061,22;5,73;23,82;1,09;7,76;1,68;0,06;0,11;6.400,90;1.011,83;6.459,97;249,29;542,46
2006;BRASIL;15;241.562;4.000,00;954,85;2.220,14;3.952,82;163,14;1.803,40;104,18;1.170,20;6,79;17,92;1,2;4,93;1,39;0,01;0,1;5.625,27;1.365,84;5.850,59;207,68;699,67
2006;BRASIL;16;241.563;4.050,00;977,75;3.197,89;4.047,60;171,29;2.578,10;129,29;1.098,27;7,33;15,61;1,29;3,86;1,24;0,01;0,04;5.208,95;1.490,33;8.156,04;226,04;681,38
2006;BRASIL;17;241.563;4.200,00;990,97;4.188,85;4.102,31;114,91;1.714,56;92,71;925,69;5,86;15,02;1,1;3,89;1,12;0,03;0,12;4.554,92;1.139,07;5.644,93;164,86;537,7
2006;BRASIL;18;241.562;4.900,00;1.095,53;5.284,38;4.535,18;126,14;639,92;34,03;1.264,91;6,13;22,92;1,39;8,83;1,82;0,07;0,23;5.519,89;868,7;4.451,27;170,33;421,99
2006;BRASIL;19;241.563;5.644,90;1.267,82;6.552,20;5.248,39;122,63;525,69;26,46;1.294,60;7,16;25,86;2,04;10,64;2,12;0,11;0,17;5.489,25;888,71;5.131,21;187,9;454,55
2006;BRASIL;20;241.562;6.200,00;1.439,88;7.992,08;5.960,71;145,28;827,32;35,61;1.085,12;7,37;23,85;2,31;10,07;1,9;0,11;0,17;5.298,18;956,71;5.140,54;234,95;571,34
2006;BRASIL;21;241.563;6.984,24;1.591,95;9.584,03;6.590,23;141,73;497,81;24,73;1.240,51;9,61;31,27;3,03;14,72;2,68;0,18;0,23;5.735,69;988,55;4.982,88;245,65;533,44
2006;BRASIL;22;241.562;7.688,56;1.766,67;11.350,71;7.313,54;152,86;532;31,53;1.191,27;10,8;32;3,49;14,82;2,77;0,22;0,21;5.796,80;1.064,28;5.011,02;256,63;500,84
2006;BRASIL;23;241.563;8.225,74;1.929,54;13.280,25;7.987,74;135,53;1.260,57;67,42;1.230,93;12,86;33,16;4,17;13,29;2,65;0,18;0,24;6.371,18;1.332,07;6.140,76;226,7;721,8
2006;BRASIL;24;241.562;8.800,00;2.053,15;15.333,40;8.499,48;170,54;421,56;22,23;1.190,62;11,28;32,69;4,07;18,01;3,18;0,26;0,38;6.177,29;1.055,91;4.994,26;194,68;384,06
2006;BRASIL;25;241.563;9.517,60;2.210,20;17.543,60;9.149,57;133,56;444,52;28,52;1.110,09;14,2;36,41;4,95;17,53;3,35;0,45;0,38;5.980,85;1.115,37;4.842,05;234,86;412,1
2006;BRASIL;26;241.562;10.000,00;2.364,04;19.907,64;9.786,49;76,51;441,26;21,51;829,13;11,59;29,66;3,99;13,25;2,53;0,36;0,39;4.995,84;971,99;3.794,37;206,56;337,42
2006;BRASIL;27;241.563;10.600,00;2.489,24;22.396,89;10.304,73;136,84;427,76;24,83;953,51;15,31;36,01;5,2;16,63;3,03;0,42;0,31;5.651,59;1.118,36;4.768,05;202,29;409,54
2006;BRASIL;28;241.562;11.220,00;2.634,71;25.031,60;10.906,98;175,67;636,84;37,64;1.042,78;18,7;42,14;6,24;20,39;3,69;0,5;0,59;6.570,70;1.320,96;5.227,24;208,33;549,15
2006;BRASIL;29;241.563;11.911,17;2.792,22;27.823,82;11.558,98;168,69;465,8;25,93;1.036,63;22,49;47,69;7,45;22,52;3,96;1,09;0,46;6.635,60;1.323,02;4.772,51;191,46;494,28
2006;BRASIL;30;241.562;12.000,00;2.897,63;30.721,45;11.995,38;89,84;849,39;49,61;719,81;9,09;20,51;3,35;7,93;2,02;0,49;0,45;5.022,08;1.123,37;5.202,47;189,19;595,27
2006;BRASIL;31;241.563;12.498,93;2.957,86;33.679,30;12.244,66;119,51;637,44;26,91;945,18;20,42;41,17;6,28;18,68;3,56;0,61;0,25;6.257,87;1.292,48;4.938,48;196,62;519,29
2006;BRASIL;32;241.562;12.900,00;3.059,02;36.738,32;12.663,50;83,2;390,27;24,11;761,26;17,97;34,99;5,52;15,69;2,9;0,62;0,37;5.497,30;1.183,41;4.184,96;179,79;508,91
2006;BRASIL;33;241.563;13.312,83;3.166,56;39.904,89;13.108,64;90,34;422,54;24,22;779,99;20,88;42,6;6,67;18,76;3,51;0,79;0,42;6.132,06;1.322,57;5.535,63;188,23;555,66
2006;BRASIL;34;241.563;13.750,00;3.269,94;43.174,83;13.536,60;106,59;366,34;24,87;793,17;24,34;44,45;7,13;19,2;3,52;0,78;0,46;5.825,41;1.320,67;4.552,65;164,77;533,97
2006;BRASIL;35;241.562;14.050,00;3.363,92;46.538,75;13.925,69;117,85;379,73;26,1;701,73;19,79;36,67;5,78;15,29;2,87;0,53;0,69;5.863,86;1.325,43;4.401,02;228,85;590,11
2006;BRASIL;36;241.563;14.400,00;3.438,47;49.977,21;14.234,24;137,71;340,77;20,76;810,88;26,05;47,87;6,99;18,94;3,75;0,82;0,51;6.052,48;1.416,56;4.485,31;192,66;541,73
2006;BRASIL;37;241.562;14.600,00;3.497,73;53.474,95;14.479,66;84,42;458,99;25,85;652,87;18,39;38,34;5,6;13,97;2,83;0,92;0,35;5.642,54;1.343,13;4.670,14;205,42;592,56
2006;BRASIL;38;241.563;14.900,00;3.565,62;57.040,56;14.760,61;131,95;356,07;24,37;768,02;27,8;49,05;7,18;18,98;4,07;0,84;0,39;6.087,70;1.439,24;4.330,62;1.208,14;610,48
2006;BRASIL;39;241.562;15.000,00;3.618,11;60.658,68;14.977,99;59,65;247,87;19,52;588,56;11,98;25,69;3,89;9,92;2,16;0,46;0,78;4.960,43;1.183,02;3.854,73;177,28;546,7
2006;BRASIL;40;241.563;15.257,66;3.655,67;64.314,35;15.133,41;83,44;245,17;16,72;531,91;34,47;63,49;8,72;20,74;5,12;0,86;0,74;4.942,13;1.171,93;3.201,44;136,02;436,61
2006;BRASIL;41;241.562;15.505,00;3.717,70;68.032,05;15.390,26;96,58;272,33;16,31;541;36,18;63,42;8,7;21,2;5,51;0,83;0,59;4.746,94;1.184,77;3.413,25;273,64;534,25
2006;BRASIL;42;241.563;15.732,24;3.772,62;71.804,67;15.617,53;74,5;280,86;18,66;554,96;34,56;63,29;8,51;21,68;5,11;0,99;0,44;5.166,91;1.259,52;4.573,44;131,91;455,08
2006;BRASIL;43;241.562;16.000,00;3.831,48;75.636,15;15.861,27;77,27;200,37;13,16;542,37;40,51;69,81;9,49;22,89;5,66;0,75;0,58;4.863,09;1.186,28;3.076,44;145,95;454,71
2006;BRASIL;44;241.563;16.183,44;3.880,19;79.516,34;16.062,87;75,73;381,49;17,14;592,9;31,13;57,03;8,06;19,12;4,6;0,77;0,95;5.427,18;1.428,24;4.291,98;235,82;521,42
2006;BRASIL;45;241.562;16.418,18;3.935,33;83.451,67;16.291,17;95,39;369,8;19,31;608,42;40,92;73,57;10,49;23,83;5,83;0,94;0,68;6.438,90;1.380,30;3.918,01;403,63;534,97
2006;BRASIL;46;241.563;16.643,11;3.992,06;87.443,73;16.525,97;72,79;270,61;12,26;544,62;36,45;67,18;9,77;22,3;5,38;0,89;0,48;5.121,13;1.391,07;3.457,33;159,15;472,89
2006;BRASIL;47;241.562;16.868,13;4.049,76;91.493,49;16.764,89;85,33;273,66;16,49;534,27;37,22;70,31;10,72;25,3;5,93;0,99;0,86;5.326,03;1.388,44;3.537,87;149,66;533,18
2006;BRASIL;48;241.563;17.089,00;4.101,88;95.595,37;16.980,58;78,78;217,51;10,66;513,03;35,39;67,84;10,43;24,32;6,03;0,91;0,74;5.786,51;1.388,01;3.592,88;139,07;502,24
2006;BRASIL;49;241.562;17.340,32;4.158,22;99.753,60;17.213,90;97,1;229,42;9,58;565,26;44,69;84,36;13,28;29,21;7,82;1,04;0,69;5.408,43;1.481,15;3.423,01;151,62;520,99
